ID,Quantity Ordered,Product,Price,Date
50766,Classic Hamb,1,22.9,11/04/2020 20:40
50767,Doble slim Hamb,1,27.9,19/04/2020 20:43
50768,Bacon Hamb,1,26.9,14/04/2020 20:40
50769,Doble slim Hamb,1,27.9,20/04/2020 18:52
50770,Doble slim Hamb,1,27.9,05/04/2020 20:15
50771,Heart attack Hamb,1,31.9,15/04/2020 19:08
50772,Doble Hamb,1,31.9,08/04/2020 20:36
50773,Classic Hamb,1,22.9,09/04/2020 19:56
50774,Doble slim Hamb,1,27.9,01/04/2020 21:02
50775,Heart attack Hamb,1,31.9,13/04/2020 19:28
50776,Classic Hamb,1,22.9,29/04/2020 19:42
50777,Classic Hamb,1,22.9,09/04/2020 20:18
50777,Veg,1,20.5,09/04/2020 20:18
50778,Doble slim Hamb,1,27.9,21/04/2020 20:27
50779,Bacon Hamb,1,26.9,19/04/2020 21:08
50780,Junior Hamb Plus,1,19.9,09/04/2020 20:14
50781,Classic Hamb,1,22.9,22/04/2020 19:49
50782,Doble Hamb,1,31.9,25/04/2020 20:06
50783,Junior Hamb Plus,1,19.9,28/04/2020 20:18
50784,Classic Hamb,1,22.9,13/04/2020 19:49
50785,Junior Hamb Plus,1,19.9,04/04/2020 20:02
50786,Veg,1,20.5,18/04/2020 19:54
50787,Bacon Hamb,1,26.9,10/04/2020 20:50
50788,Classic Hamb,1,22.9,12/04/2020 21:39
50789,Classic Hamb,1,22.9,09/04/2020 19:10
50790,Monster Hamb,1,50.9,29/04/2020 20:42
50791,Doble slim Hamb,1,27.9,26/04/2020 17:59
50792,Junior Hamb,1,17.9,23/04/2020 20:11
50793,Bacon Hamb,2,26.9,22/04/2020 18:54
50794,Junior Hamb Plus,1,19.9,20/04/2020 20:58
50795,Tijuana Hamb,1,30.9,13/04/2020 18:35
50796,Tijuana Hamb,1,30.9,07/04/2020 19:18
50797,Tijuana Hamb,1,30.9,12/04/2020 18:30
50798,Tijuana Hamb,1,30.9,03/04/2020 19:40
50799,Doble Hamb,1,31.9,09/04/2020 19:43
50800,Classic Hamb,1,22.9,24/04/2020 20:55
50800,Doble Hamb,1,31.9,24/04/2020 20:55
50801,Junior Hamb,1,17.9,20/04/2020 20:40
50802,Doble slim Hamb,1,27.9,18/04/2020 21:27
50803,Heart attack Hamb,1,31.9,22/04/2020 20:28
50804,Junior Hamb,1,17.9,27/04/2020 19:57
50805,Bacon Hamb,1,26.9,27/04/2020 16:39
50806,Veg,1,20.5,10/04/2020 18:38
50807,Tijuana Hamb,1,30.9,22/04/2020 21:09
50808,Doble slim Hamb,1,27.9,03/04/2020 21:20
50809,Junior Hamb Plus,1,19.9,17/04/2020 18:07
50810,Tijuana Hamb,1,30.9,28/04/2020 22:06
50811,Junior Hamb Plus,1,19.9,17/04/2020 21:48
50812,Doble Hamb,1,31.9,28/04/2020 18:20
50813,Bacon Hamb,1,26.9,27/04/2020 20:29
50814,Heart attack Hamb,1,31.9,16/04/2020 20:41
50815,Doble slim Hamb,1,27.9,09/04/2020 17:57
50816,Veg,1,20.5,19/04/2020 21:55
50817,Doble Hamb,1,31.9,02/04/2020 21:22
50818,Classic Hamb,1,22.9,01/04/2020 19:32
50818,Veg,1,20.5,01/04/2020 19:32
50819,Veg,1,20.5,04/04/2020 19:28
50820,Doble Hamb,1,31.9,02/04/2020 17:01
50821,Classic Hamb,1,22.9,10/04/2020 19:37
50822,Doble slim Hamb,1,27.9,02/04/2020 18:54
50823,Monster Hamb,1,50.9,16/04/2020 21:45
50824,Doble Hamb,1,31.9,02/04/2020 21:13
50825,Classic Hamb,1,22.9,22/04/2020 19:58
50826,Doble slim Hamb,1,27.9,10/04/2020 20:41
50827,Classic Hamb,2,22.9,24/04/2020 21:12
50828,Classic Hamb,1,22.9,27/04/2020 19:20
50829,Classic Hamb,1,22.9,16/04/2020 21:06
50830,Heart attack Hamb,1,31.9,25/04/2020 19:46
50831,Junior Hamb Plus,1,19.9,04/04/2020 17:42
50832,Junior Hamb Plus,1,19.9,22/04/2020 19:54
50833,Doble slim Hamb,1,27.9,06/04/2020 20:24
50834,Classic Hamb,1,22.9,14/04/2020 19:30
50834,Doble Hamb,1,31.9,14/04/2020 19:30
50835,Classic Hamb,1,22.9,27/04/2020 20:43
50836,Heart attack Hamb,2,31.9,19/04/2020 21:40
50837,Classic Hamb,1,22.9,16/04/2020 21:42
50837,Doble slim Hamb,1,27.9,16/04/2020 21:42
50838,Doble slim Hamb,1,27.9,30/04/2020 20:07
50839,Classic Hamb,1,22.9,26/04/2020 20:56
50840,Doble slim Hamb,1,27.9,27/04/2020 18:54
50841,Junior Hamb Plus,1,19.9,16/04/2020 18:30
50842,Junior Hamb,1,17.9,16/04/2020 18:51
50843,Classic Hamb,1,22.9,24/04/2020 19:45
50843,Veg,1,20.5,24/04/2020 19:45
50844,Doble Hamb,1,31.9,04/04/2020 18:51
50845,Bacon Hamb,1,26.9,27/04/2020 19:46
50846,Tijuana Hamb,1,30.9,25/04/2020 21:08
50847,Veg,1,20.5,02/04/2020 20:33
50848,Doble Hamb,1,31.9,21/04/2020 17:41
50849,Classic Hamb,1,22.9,27/04/2020 21:02
50850,Classic Hamb,1,22.9,05/04/2020 20:17
50851,Classic Hamb,1,22.9,08/04/2020 19:51
50852,Bacon Hamb,1,26.9,14/04/2020 20:15
50853,Classic Hamb,1,22.9,05/04/2020 19:24
50853,Doble Hamb,1,31.9,05/04/2020 19:24
50854,Classic Hamb,1,22.9,05/04/2020 20:17
50855,Doble slim Hamb,1,27.9,28/04/2020 20:28
50856,Doble Hamb,1,31.9,17/04/2020 19:24
