ID,Quantity Ordered,Product,Price,Date
120564,Classic Hamb,1,22.9,28/08/2020 20:01
120565,Junior Hamb,1,17.9,06/08/2020 20:00
120566,Heart attack Hamb,1,31.9,07/08/2020 20:31
120567,Junior Hamb,1,17.9,22/08/2020 21:23
120568,Heart attack Hamb,1,31.9,14/08/2020 19:58
120569,Classic Hamb,1,22.9,04/08/2020 19:36
120570,Classic Hamb,1,22.9,30/08/2020 20:35
120571,Junior Hamb Plus,1,19.9,03/08/2020 21:18
120572,Heart attack Hamb,1,31.9,06/08/2020 20:02
120573,Bacon Hamb,1,26.9,11/08/2020 20:50
120574,Junior Hamb,1,17.9,08/08/2020 19:36
120575,Classic Hamb,1,22.9,12/08/2020 20:49
120576,Bacon Hamb,1,26.9,02/08/2020 22:30
120577,Junior Hamb,1,17.9,18/08/2020 19:12
120578,Veg,1,20.5,05/08/2020 21:15
120579,Doble slim Hamb,2,27.9,28/08/2020 18:44
120580,Classic Hamb,1,22.9,11/08/2020 18:38
120581,Doble Hamb,1,31.9,02/08/2020 19:44
120582,Classic Hamb,1,22.9,26/08/2020 20:00
120582,Doble Hamb,1,31.9,26/08/2020 20:00
120583,Doble Hamb,1,31.9,21/08/2020 21:03
120584,Classic Hamb,1,22.9,01/08/2020 21:13
120585,Tijuana Hamb,2,30.9,31/08/2020 20:05
120586,Bacon Hamb,1,26.9,13/08/2020 20:35
120587,Heart attack Hamb,1,31.9,10/08/2020 19:34
120588,Doble Hamb,1,31.9,26/08/2020 21:37
120589,Junior Hamb Plus,1,19.9,14/08/2020 19:21
120590,Bacon Hamb,1,26.9,18/08/2020 19:22
120591,Doble slim Hamb,1,27.9,21/08/2020 20:46
120592,Doble Hamb,1,31.9,09/08/2020 20:52
120593,Classic Hamb,1,22.9,16/08/2020 19:42
120594,Junior Hamb,1,17.9,01/08/2020 19:34
120595,Bacon Hamb,2,26.9,31/08/2020 20:37
120596,Doble Hamb,1,31.9,09/08/2020 17:08
120597,Classic Hamb,1,22.9,07/08/2020 19:06
120598,Doble Hamb,1,31.9,24/08/2020 19:26
120599,Junior Hamb,1,17.9,17/08/2020 19:39
120600,Doble slim Hamb,1,27.9,20/08/2020 21:16
120601,Doble slim Hamb,1,27.9,15/08/2020 19:37
120602,Classic Hamb,1,22.9,30/08/2020 20:20
120603,Heart attack Hamb,1,31.9,04/08/2020 19:52
120604,Doble Hamb,1,31.9,01/08/2020 18:54
120605,Bacon Hamb,1,26.9,08/08/2020 21:04
120606,Tijuana Hamb,1,30.9,31/08/2020 19:31
120607,Junior Hamb Plus,1,19.9,02/08/2020 20:39
120608,Doble slim Hamb,1,27.9,09/08/2020 20:26
120609,Classic Hamb,1,22.9,09/08/2020 20:48
120610,Junior Hamb,1,17.9,28/08/2020 19:38
120610,Tijuana Hamb,1,30.9,28/08/2020 19:38
120611,Bacon Hamb,1,26.9,27/08/2020 20:39
120612,Tijuana Hamb,1,30.9,09/08/2020 20:23
120613,Veg,3,20.5,31/08/2020 22:02
120614,Monster Hamb,1,50.9,26/08/2020 19:28
120615,Junior Hamb,1,17.9,12/08/2020 19:53
120616,Doble Hamb,1,31.9,11/08/2020 20:12
120617,Classic Hamb,1,22.9,13/08/2020 19:38
120618,Doble slim Hamb,1,27.9,24/08/2020 19:50
120619,Doble Hamb,1,31.9,09/08/2020 20:49
120620,Junior Hamb Plus,1,19.9,29/08/2020 20:11
120621,Doble slim Hamb,1,27.9,04/08/2020 20:43
120622,Junior Hamb Plus,1,19.9,10/08/2020 20:49
120623,Doble slim Hamb,1,27.9,21/08/2020 21:00
120624,Doble Hamb,1,31.9,08/08/2020 20:40
120625,Doble slim Hamb,1,27.9,01/08/2020 21:18
120626,Doble Hamb,1,31.9,20/08/2020 20:14
120627,Junior Hamb Plus,1,19.9,13/08/2020 21:06
120628,Doble slim Hamb,1,27.9,29/08/2020 19:27
120629,Classic Hamb,1,22.9,02/08/2020 19:07
120630,Doble slim Hamb,1,27.9,02/08/2020 19:24
120631,Tijuana Hamb,1,30.9,07/08/2020 19:09
120632,Junior Hamb Plus,1,19.9,10/08/2020 19:33
120633,Junior Hamb,1,17.9,07/08/2020 19:25
120634,Junior Hamb,1,17.9,03/08/2020 21:41
120635,Classic Hamb,1,22.9,31/08/2020 21:11
120635,Doble slim Hamb,1,27.9,31/08/2020 21:11
120636,Veg,1,20.5,22/08/2020 19:47
120637,Doble slim Hamb,1,27.9,24/08/2020 19:58
120638,Veg,1,20.5,13/08/2020 21:35
120639,Doble Hamb,1,31.9,30/08/2020 19:15
120640,Classic Hamb,1,22.9,17/08/2020 20:34
120640,Doble slim Hamb,1,27.9,17/08/2020 20:34
120641,Tijuana Hamb,1,30.9,06/08/2020 20:40
120642,Doble slim Hamb,1,27.9,17/08/2020 21:25
120643,Doble slim Hamb,1,27.9,24/08/2020 20:39
120644,Classic Hamb,1,22.9,30/08/2020 20:56
120645,Tijuana Hamb,1,30.9,22/08/2020 21:13
120646,Junior Hamb,1,17.9,30/08/2020 19:49
120647,Bacon Hamb,1,26.9,01/08/2020 20:01
120648,Junior Hamb Plus,1,19.9,10/08/2020 19:30
120649,Classic Hamb,1,22.9,21/08/2020 18:59
120650,Veg,2,20.5,24/08/2020 21:05
120651,Veg,1,20.5,11/08/2020 21:12
120652,Classic Hamb,1,22.9,01/08/2020 18:40
120653,Junior Hamb,1,17.9,13/08/2020 19:55
120654,Veg,1,20.5,30/08/2020 23:00
120655,Doble slim Hamb,2,27.9,25/08/2020 17:21
120656,Doble Hamb,1,31.9,03/08/2020 19:40
120657,Doble Hamb,1,31.9,30/08/2020 20:19
120658,Junior Hamb Plus,1,19.9,07/08/2020 19:28
120659,Junior Hamb,1,17.9,02/08/2020 18:49
120660,Junior Hamb Plus,1,19.9,25/08/2020 18:41
120661,Tijuana Hamb,1,30.9,21/08/2020 17:38
120662,Junior Hamb Plus,1,19.9,09/08/2020 20:34
120663,Heart attack Hamb,1,31.9,17/08/2020 20:00
120664,Classic Hamb,1,22.9,27/08/2020 19:11
120665,Monster Hamb,1,50.9,11/08/2020 21:28
120666,Junior Hamb Plus,1,19.9,11/08/2020 20:10
120667,Doble Hamb,1,31.9,01/08/2020 19:54
120668,Tijuana Hamb,1,30.9,13/08/2020 21:53
120669,Junior Hamb,1,17.9,06/08/2020 19:36
120670,Doble slim Hamb,1,27.9,13/08/2020 18:40
120671,Junior Hamb Plus,1,19.9,06/08/2020 20:24
120672,Junior Hamb Plus,1,19.9,22/08/2020 19:03
120673,Classic Hamb,1,22.9,04/08/2020 21:05
120674,Doble Hamb,1,31.9,12/08/2020 20:27
120675,Classic Hamb,1,22.9,03/08/2020 18:14
120676,Doble Hamb,1,31.9,18/08/2020 20:13
120677,Classic Hamb,1,22.9,24/08/2020 19:33
120677,Doble slim Hamb,1,27.9,24/08/2020 19:33
120678,Junior Hamb Plus,1,19.9,26/08/2020 20:25
120679,Junior Hamb,1,17.9,01/08/2020 20:35
120680,Doble Hamb,1,31.9,05/08/2020 19:31
120681,Doble slim Hamb,1,27.9,08/08/2020 19:58
120682,Classic Hamb,1,22.9,14/08/2020 19:19
120683,Junior Hamb,1,17.9,01/08/2020 21:19
120684,Doble slim Hamb,1,27.9,25/08/2020 21:25
120685,Junior Hamb Plus,1,19.9,05/08/2020 19:32
120686,Bacon Hamb,1,26.9,21/08/2020 19:49
120687,Junior Hamb Plus,1,19.9,21/08/2020 20:29
