ID,Quantity Ordered,Product,Price,Date
174646,Monster Hamb,1,50.9,22/12/2020 18:04
174647,Classic Hamb,1,22.9,21/12/2020 20:52
174648,Tijuana Hamb,1,30.9,04/12/2020 21:32
174649,Bacon Hamb,1,26.9,23/12/2020 19:58
174650,Doble slim Hamb,2,27.9,24/12/2020 20:33
174651,Doble slim Hamb,1,27.9,23/12/2020 19:19
174652,Bacon Hamb,1,26.9,05/12/2020 20:28
174653,Classic Hamb,1,22.9,16/12/2020 20:26
174654,Junior Hamb Plus,1,19.9,31/12/2020 20:56
174655,Classic Hamb,1,22.9,16/12/2020 21:06
174656,Junior Hamb Plus,1,19.9,16/12/2020 19:12
174657,Heart attack Hamb,1,31.9,25/12/2020 22:13
174658,Junior Hamb Plus,1,19.9,16/12/2020 20:25
174659,Junior Hamb Plus,1,19.9,14/12/2020 20:04
174660,Bacon Hamb,1,26.9,16/12/2020 20:59
174661,Classic Hamb,1,22.9,10/12/2020 19:10
174662,Doble slim Hamb,1,27.9,11/12/2020 18:42
174663,Heart attack Hamb,1,31.9,15/12/2020 21:13
174664,Junior Hamb Plus,1,19.9,21/12/2020 19:51
174664,Tijuana Hamb,1,30.9,21/12/2020 19:51
174665,Veg,1,20.5,16/12/2020 19:55
174666,Doble Hamb,1,31.9,16/12/2020 20:26
174667,Junior Hamb,1,17.9,25/12/2020 20:01
174668,Junior Hamb,1,17.9,15/12/2020 20:44
174669,Doble Hamb,1,31.9,30/12/2020 19:32
174670,Junior Hamb Plus,1,19.9,07/12/2020 19:06
174671,Veg,1,20.5,14/12/2020 21:30
174672,Doble Hamb,1,31.9,07/12/2020 19:31
174673,Classic Hamb,1,22.9,08/12/2020 22:10
174674,Junior Hamb,1,17.9,29/12/2020 21:31
174675,Bacon Hamb,1,26.9,06/12/2020 21:04
174676,Bacon Hamb,1,26.9,12/12/2020 20:27
174677,Doble slim Hamb,1,27.9,10/12/2020 20:17
174678,Doble slim Hamb,1,27.9,14/12/2020 19:38
174679,Bacon Hamb,1,26.9,29/12/2020 20:44
174680,Junior Hamb Plus,1,19.9,13/12/2020 19:09
174681,Veg,1,20.5,12/12/2020 19:35
174682,Junior Hamb Plus,1,19.9,26/12/2020 20:51
174683,Doble Hamb,1,31.9,13/12/2020 20:15
174684,Tijuana Hamb,1,30.9,22/12/2020 20:33
174685,Doble slim Hamb,1,27.9,24/12/2020 17:29
174686,Doble slim Hamb,1,27.9,15/12/2020 19:04
174687,Monster Hamb,1,50.9,06/12/2020 20:54
174688,Doble Hamb,1,31.9,27/12/2020 20:16
174689,Heart attack Hamb,1,31.9,23/12/2020 18:36
174690,Classic Hamb,1,22.9,24/12/2020 20:17
174691,Tijuana Hamb,1,30.9,08/12/2020 20:23
174692,Veg,1,20.5,10/12/2020 19:49
174693,Tijuana Hamb,1,30.9,31/12/2020 19:45
174694,Doble Hamb,1,31.9,23/12/2020 18:23
174695,Bacon Hamb,1,26.9,29/12/2020 19:52
174696,Doble slim Hamb,1,27.9,16/12/2020 20:39
174697,Classic Hamb,1,22.9,18/12/2020 20:38
174698,Junior Hamb,1,17.9,10/12/2020 20:05
174698,Tijuana Hamb,2,30.9,10/12/2020 20:05
174699,Bacon Hamb,1,26.9,21/12/2020 20:57
174700,Junior Hamb,2,17.9,15/12/2020 20:35
174701,Veg,1,20.5,08/12/2020 20:23
174702,Junior Hamb Plus,2,19.9,14/12/2020 19:35
174703,Doble Hamb,1,31.9,30/12/2020 20:13
174704,Classic Hamb,1,22.9,13/12/2020 19:11
174705,Classic Hamb,1,22.9,15/12/2020 19:41
174706,Classic Hamb,1,22.9,20/12/2020 19:23
174707,Classic Hamb,1,22.9,14/12/2020 19:39
174708,Classic Hamb,1,22.9,10/12/2020 19:25
174709,Classic Hamb,1,22.9,05/12/2020 21:44
