ID,Quantity Ordered,Product,Price,Date
14947,Junior Hamb Plus,1,19.9,14/02/2020 21:24
14948,Doble slim Hamb,1,27.9,25/02/2020 20:44
14949,Classic Hamb,1,22.9,22/02/2020 19:13
14950,Junior Hamb Plus,1,19.9,05/02/2020 20:51
14951,Junior Hamb,1,17.9,05/02/2020 20:36
14952,Junior Hamb Plus,1,19.9,25/02/2020 20:56
14953,Heart attack Hamb,1,31.9,04/02/2020 20:52
14954,Classic Hamb,1,22.9,03/02/2020 20:24
14955,Doble Hamb,1,31.9,13/02/2020 20:36
14956,Veg,2,20.5,13/02/2020 20:55
14957,Veg,1,20.5,02/02/2020 20:49
14958,Junior Hamb Plus,1,19.9,14/02/2020 20:07
14959,Junior Hamb Plus,1,19.9,04/02/2020 18:26
14960,Classic Hamb,1,22.9,24/02/2020 20:24
14961,Heart attack Hamb,1,31.9,04/02/2020 20:06
14962,Junior Hamb,1,17.9,23/02/2020 20:24
14963,Tijuana Hamb,1,30.9,22/02/2020 18:59
14964,Classic Hamb,1,22.9,13/02/2020 19:56
14965,Bacon Hamb,1,26.9,29/02/2020 20:47
14966,Doble slim Hamb,1,27.9,29/02/2020 19:30
14967,Tijuana Hamb,1,30.9,28/02/2020 20:46
14968,Veg,1,20.5,24/02/2020 19:10
14969,Classic Hamb,1,22.9,16/02/2020 20:44
14970,Junior Hamb Plus,1,19.9,11/02/2020 19:02
14971,Doble slim Hamb,1,27.9,10/02/2020 18:16
14972,Classic Hamb,1,22.9,11/02/2020 20:51
14973,Doble Hamb,1,31.9,07/02/2020 17:36
14974,Doble slim Hamb,1,27.9,21/02/2020 19:45
14975,Junior Hamb,1,17.9,13/02/2020 20:45
14976,Tijuana Hamb,1,30.9,26/02/2020 20:58
14977,Doble Hamb,1,31.9,12/02/2020 21:02
14978,Classic Hamb,1,22.9,07/02/2020 19:09
14979,Junior Hamb,1,17.9,05/02/2020 17:53
14980,Junior Hamb Plus,1,19.9,15/02/2020 20:04
14980,Tijuana Hamb,1,30.9,15/02/2020 20:04
14981,Bacon Hamb,1,26.9,03/02/2020 21:15
14982,Doble slim Hamb,1,27.9,01/02/2020 20:25
14983,Tijuana Hamb,1,30.9,17/02/2020 18:29
14984,Junior Hamb,1,17.9,06/02/2020 20:55
14985,Doble Hamb,1,31.9,24/02/2020 19:12
14986,Heart attack Hamb,1,31.9,11/02/2020 19:46
14987,Veg,1,20.5,09/02/2020 19:36
14988,Doble Hamb,1,31.9,20/02/2020 18:45
14989,Doble slim Hamb,1,27.9,22/02/2020 21:03
14990,Veg,1,20.5,29/02/2020 19:44
14991,Bacon Hamb,1,26.9,16/02/2020 18:27
14992,Doble slim Hamb,1,27.9,20/02/2020 21:02
14993,Bacon Hamb,1,26.9,12/02/2020 20:20
14994,Heart attack Hamb,1,31.9,12/02/2020 19:35
14995,Heart attack Hamb,1,31.9,09/02/2020 19:07
14996,Doble Hamb,1,31.9,12/02/2020 19:23
14997,Junior Hamb,1,17.9,24/02/2020 18:33
14998,Classic Hamb,1,22.9,20/02/2020 19:12
14998,Doble Hamb,1,31.9,20/02/2020 19:12
14999,Doble Hamb,1,31.9,26/02/2020 19:58
15000,Doble slim Hamb,1,27.9,08/02/2020 20:42
15001,Bacon Hamb,1,26.9,16/02/2020 19:38
15002,Junior Hamb Plus,1,19.9,06/02/2020 21:36
15002,Tijuana Hamb,1,30.9,06/02/2020 21:36
15003,Junior Hamb Plus,2,19.9,24/02/2020 17:48
15004,Tijuana Hamb,2,30.9,04/02/2020 19:50
15005,Bacon Hamb,1,26.9,22/02/2020 21:09
15006,Heart attack Hamb,1,31.9,22/02/2020 18:55
15007,Junior Hamb,1,17.9,10/02/2020 20:00
15008,Bacon Hamb,1,26.9,01/02/2020 20:04
15009,Bacon Hamb,1,26.9,24/02/2020 18:39
15010,Junior Hamb Plus,1,19.9,01/02/2020 20:02
15011,Junior Hamb,1,17.9,04/02/2020 19:26
15012,Junior Hamb Plus,1,19.9,25/02/2020 20:14
15012,Bacon Hamb,1,26.9,25/02/2020 20:14
15013,Classic Hamb,1,22.9,03/02/2020 18:38
15014,Doble slim Hamb,1,27.9,05/02/2020 21:06
15015,Junior Hamb Plus,1,19.9,06/02/2020 19:08
15016,Doble slim Hamb,1,27.9,26/02/2020 20:49
15017,Doble slim Hamb,1,27.9,13/02/2020 20:04
15018,Bacon Hamb,1,26.9,28/02/2020 20:09
15019,Monster Hamb,1,50.9,05/02/2020 19:26
15020,Doble Hamb,1,31.9,25/02/2020 18:57
15021,Junior Hamb Plus,1,19.9,26/02/2020 19:10
15021,Tijuana Hamb,1,30.9,26/02/2020 19:10
15022,Classic Hamb,1,22.9,08/02/2020 20:11
15023,Doble Hamb,1,31.9,20/02/2020 19:43
15024,Veg,1,20.5,19/02/2020 21:30
15025,Doble Hamb,1,31.9,06/02/2020 17:52
15026,Doble slim Hamb,1,27.9,23/02/2020 19:45
ID,Quantity Ordered,Product,Price,Date
15027,Bacon Hamb,1,26.9,07/02/2020 20:15
15028,Junior Hamb Plus,1,19.9,01/02/2020 19:13
15029,Junior Hamb Plus,1,19.9,27/02/2020 20:30
15030,Classic Hamb,1,22.9,25/02/2020 19:22
15030,Doble Hamb,1,31.9,25/02/2020 19:22
15031,Doble slim Hamb,1,27.9,06/02/2020 19:51
15032,Veg,1,20.5,20/02/2020 19:43
15033,Junior Hamb,1,17.9,06/02/2020 20:42
15034,Classic Hamb,1,22.9,06/02/2020 20:35
15035,Doble slim Hamb,3,27.9,09/02/2020 19:11
15036,Junior Hamb,1,17.9,10/02/2020 19:58
15037,Tijuana Hamb,2,30.9,07/02/2020 19:05
15038,Junior Hamb,1,17.9,24/02/2020 21:21
15039,Heart attack Hamb,1,31.9,21/02/2020 19:29
15040,Heart attack Hamb,1,31.9,24/02/2020 19:43
15041,Veg,1,20.5,27/02/2020 20:56
15042,Junior Hamb,1,17.9,05/02/2020 20:56
15043,Junior Hamb Plus,1,19.9,06/02/2020 19:03
15044,Junior Hamb,1,17.9,15/02/2020 19:42
15045,Heart attack Hamb,1,31.9,29/02/2020 20:31
15046,Bacon Hamb,1,26.9,17/02/2020 19:33
15047,Junior Hamb Plus,1,19.9,28/02/2020 20:48
15048,Bacon Hamb,1,26.9,17/02/2020 20:51
