ID,Quantity Ordered,Product,Price,Date
1,Doble Hamb,1,31.9,18/01/2020 20:31
2,Doble Hamb,1,31.9,30/01/2020 20:33
3,Doble Hamb,1,31.9,23/01/2020 20:48
4,Veg,1,20.5,18/01/2020 19:53
5,Junior Hamb,1,17.9,07/01/2020 20:28
6,Junior Hamb Plus,3,19.9,05/01/2020 20:34
7,Doble slim Hamb,1,27.9,08/01/2020 19:09
8,Doble slim Hamb,1,27.9,10/01/2020 22:11
9,Junior Hamb,1,17.9,11/01/2020 20:06
10,Classic Hamb,1,22.9,12/01/2020 18:13
11,Classic Hamb,1,22.9,16/01/2020 20:35
12,Junior Hamb Plus,1,19.9,13/01/2020 20:30
13,Junior Hamb Plus,1,19.9,04/01/2020 19:36
14,Bacon Hamb,1,26.9,13/01/2020 19:14
15,Doble Hamb,1,31.9,03/01/2020 19:30
16,Classic Hamb,1,22.9,11/01/2020 21:18
16,Doble Hamb,1,31.9,11/01/2020 21:18
17,Classic Hamb,1,22.9,10/01/2020 21:10
18,Classic Hamb,1,22.9,19/01/2020 18:44
18,Doble Hamb,1,31.9,19/01/2020 18:44
19,Junior Hamb Plus,1,19.9,17/01/2020 19:45
20,Junior Hamb Plus,1,19.9,04/01/2020 20:33
21,Junior Hamb Plus,1,19.9,26/01/2020 20:13
22,Junior Hamb Plus,1,19.9,16/01/2020 19:19
23,Classic Hamb,1,22.9,01/01/2020 21:27
24,Bacon Hamb,1,26.9,13/01/2020 20:59
25,Classic Hamb,1,22.9,27/01/2020 20:17
26,Junior Hamb Plus,1,19.9,07/01/2020 18:48
27,Veg,1,20.5,19/01/2020 18:37
28,Junior Hamb Plus,1,19.9,02/01/2020 19:31
29,Junior Hamb,1,17.9,31/01/2020 20:05
30,Doble slim Hamb,1,27.9,09/01/2020 19:55
31,Junior Hamb,1,17.9,31/01/2020 20:07
32,Classic Hamb,1,22.9,27/01/2020 19:03
33,Doble slim Hamb,1,27.9,08/01/2020 18:11
34,Classic Hamb,1,22.9,28/01/2020 18:44
35,Monster Hamb,1,50.9,20/01/2020 20:47
36,Junior Hamb Plus,1,19.9,12/01/2020 19:44
37,Tijuana Hamb,1,30.9,01/01/2020 20:04
38,Junior Hamb Plus,1,19.9,05/01/2020 20:27
39,Heart attack Hamb,1,31.9,26/01/2020 19:50
40,Doble Hamb,1,31.9,07/01/2020 19:01
41,Classic Hamb,1,22.9,01/01/2020 19:41
41,Doble Hamb,1,31.9,01/01/2020 19:41
42,Doble Hamb,1,31.9,07/01/2020 20:23
43,Doble Hamb,1,31.9,18/01/2020 20:01
44,Classic Hamb,2,22.9,01/01/2020 20:10
45,Doble slim Hamb,1,27.9,27/01/2020 18:54
46,Classic Hamb,2,22.9,30/01/2020 20:48
46,Doble slim Hamb,1,27.9,30/01/2020 20:48
47,Doble slim Hamb,1,27.9,31/01/2020 20:16
48,Bacon Hamb,1,26.9,20/01/2020 19:19
49,Junior Hamb,1,17.9,31/01/2020 19:25
50,Doble slim Hamb,1,27.9,22/01/2020 20:37
51,Heart attack Hamb,1,31.9,17/01/2020 20:37
52,Classic Hamb,1,22.9,13/01/2020 17:48
53,Junior Hamb Plus,1,19.9,24/01/2020 19:16
54,Classic Hamb,1,22.9,15/01/2020 19:20
55,Doble slim Hamb,1,27.9,07/01/2020 20:28
56,Doble Hamb,1,31.9,25/01/2020 21:19
57,Junior Hamb Plus,1,19.9,26/01/2020 19:09
58,Junior Hamb Plus,1,19.9,12/01/2020 20:50
59,Bacon Hamb,1,26.9,07/01/2020 21:09
60,Bacon Hamb,1,26.9,29/01/2020 21:01
61,Classic Hamb,1,22.9,16/01/2020 18:49
62,Tijuana Hamb,1,30.9,08/01/2020 20:14
63,Junior Hamb,1,17.9,28/01/2020 18:54
64,Tijuana Hamb,1,30.9,30/01/2020 19:48
65,Veg,1,20.5,17/01/2020 20:25
66,Classic Hamb,2,22.9,27/01/2020 19:50
67,Doble slim Hamb,1,27.9,28/01/2020 20:37
68,Doble slim Hamb,1,27.9,05/01/2020 19:25
69,Veg,1,20.5,11/01/2020 18:59
70,Classic Hamb,1,22.9,17/01/2020 21:36
71,Classic Hamb,1,22.9,01/01/2020 18:37
