ID,Quantity Ordered,Product,Price,Date
101827,Classic Hamb,1,22.9,17/07/2020 20:19
101828,Classic Hamb,1,22.9,08/07/2020 19:12
101828,Doble slim Hamb,1,27.9,08/07/2020 19:12
101829,Doble Hamb,1,31.9,15/07/2020 21:35
101830,Junior Hamb,1,17.9,19/07/2020 20:49
101831,Doble slim Hamb,1,27.9,16/07/2020 20:27
101832,Junior Hamb Plus,1,19.9,21/07/2020 20:20
101833,Doble Hamb,1,31.9,12/07/2020 18:49
101834,Bacon Hamb,1,26.9,18/07/2020 19:43
101835,Doble slim Hamb,1,27.9,03/07/2020 21:13
101836,Junior Hamb,1,17.9,02/07/2020 19:22
101836,Bacon Hamb,1,26.9,02/07/2020 19:22
101837,Junior Hamb,1,17.9,23/07/2020 20:30
101838,Junior Hamb,1,17.9,29/07/2020 19:26
101839,Doble slim Hamb,1,27.9,05/07/2020 19:53
101840,Classic Hamb,1,22.9,14/07/2020 20:55
101841,Bacon Hamb,2,26.9,16/07/2020 20:53
101842,Bacon Hamb,1,26.9,06/07/2020 20:33
101843,Junior Hamb,1,17.9,21/07/2020 21:33
101844,Heart attack Hamb,1,31.9,24/07/2020 20:59
101845,Classic Hamb,1,22.9,10/07/2020 20:35
101846,Classic Hamb,1,22.9,17/07/2020 19:11
101847,Junior Hamb Plus,1,19.9,23/07/2020 20:25
101848,Bacon Hamb,1,26.9,28/07/2020 19:20
101849,Tijuana Hamb,1,30.9,09/07/2020 18:35
101850,Doble slim Hamb,1,27.9,31/07/2020 20:50
101851,Junior Hamb,1,17.9,24/07/2020 20:11
101852,Classic Hamb,1,22.9,22/07/2020 18:39
101853,Junior Hamb Plus,1,19.9,22/07/2020 19:28
101854,Tijuana Hamb,1,30.9,23/07/2020 20:44
101855,Bacon Hamb,1,26.9,09/07/2020 19:56
101856,Bacon Hamb,1,26.9,30/07/2020 20:50
101857,Doble slim Hamb,1,27.9,15/07/2020 21:27
101858,Junior Hamb,1,17.9,28/07/2020 21:00
101859,Junior Hamb Plus,1,19.9,13/07/2020 19:35
101860,Junior Hamb,1,17.9,21/07/2020 20:49
101860,Tijuana Hamb,1,30.9,21/07/2020 20:49
