ID,Quantity Ordered,Product,Price,Date
85683,Tijuana Hamb,1,30.9,11/06/2020 18:20
85684,Classic Hamb,1,22.9,09/06/2020 20:07
85684,Doble Hamb,1,31.9,09/06/2020 20:07
85684,Doble slim Hamb,1,27.9,09/06/2020 20:07
85685,Tijuana Hamb,1,30.9,02/06/2020 17:39
85686,Doble slim Hamb,1,27.9,05/06/2020 21:23
85687,Junior Hamb Plus,1,19.9,20/06/2020 19:58
85688,Classic Hamb,1,22.9,29/06/2020 20:30
85689,Doble slim Hamb,1,27.9,06/06/2020 20:43
85690,Heart attack Hamb,1,31.9,21/06/2020 19:31
85691,Doble Hamb,1,31.9,03/06/2020 19:52
85692,Junior Hamb,1,17.9,02/06/2020 18:44
85693,Doble slim Hamb,1,27.9,05/06/2020 19:23
85694,Doble slim Hamb,1,27.9,07/06/2020 20:32
85695,Doble Hamb,1,31.9,28/06/2020 18:51
85696,Classic Hamb,1,22.9,15/06/2020 23:19
85697,Veg,1,20.5,30/06/2020 20:00
85698,Tijuana Hamb,1,30.9,03/06/2020 18:25
85699,Junior Hamb Plus,2,19.9,09/06/2020 20:32
85700,Doble Hamb,1,31.9,17/06/2020 21:08
85701,Classic Hamb,1,22.9,23/06/2020 21:01
85702,Junior Hamb Plus,2,19.9,14/06/2020 21:26
85703,Junior Hamb Plus,1,19.9,17/06/2020 19:04
85704,Junior Hamb Plus,1,19.9,07/06/2020 18:13
85705,Doble Hamb,1,31.9,02/06/2020 18:46
85706,Tijuana Hamb,1,30.9,11/06/2020 19:41
85707,Junior Hamb,2,17.9,12/06/2020 20:35
85708,Doble Hamb,1,31.9,01/06/2020 20:09
85709,Classic Hamb,1,22.9,13/06/2020 22:49
85710,Junior Hamb Plus,1,19.9,24/06/2020 19:39
85711,Bacon Hamb,1,26.9,22/06/2020 20:58
85712,Doble slim Hamb,1,27.9,12/06/2020 19:29
85713,Junior Hamb Plus,1,19.9,20/06/2020 21:02
85714,Classic Hamb,1,22.9,04/06/2020 20:50
85715,Veg,1,20.5,08/06/2020 19:55
85716,Classic Hamb,1,22.9,19/06/2020 19:37
85716,Doble slim Hamb,1,27.9,19/06/2020 19:37
85717,Junior Hamb Plus,1,19.9,30/06/2020 20:39
85718,Doble Hamb,1,31.9,08/06/2020 20:52
85719,Bacon Hamb,1,26.9,07/06/2020 20:14
85720,Doble Hamb,1,31.9,04/06/2020 20:16
85721,Classic Hamb,1,22.9,24/06/2020 19:06
85722,Doble Hamb,1,31.9,21/06/2020 20:55
85723,Classic Hamb,1,22.9,22/06/2020 20:54
85723,Doble Hamb,1,31.9,22/06/2020 20:54
85724,Classic Hamb,1,22.9,10/06/2020 19:38
85725,Junior Hamb,1,17.9,22/06/2020 19:29
85726,Junior Hamb Plus,1,19.9,02/06/2020 18:53
85727,Doble slim Hamb,1,27.9,08/06/2020 21:13
85728,Veg,1,20.5,16/06/2020 19:28
85729,Doble slim Hamb,1,27.9,30/06/2020 20:09
85730,Bacon Hamb,1,26.9,14/06/2020 19:48
85731,Heart attack Hamb,2,31.9,05/06/2020 20:20
85732,Junior Hamb,1,17.9,14/06/2020 20:09
85733,Veg,1,20.5,25/06/2020 19:45
85734,Junior Hamb,1,17.9,28/06/2020 20:08
85735,Junior Hamb Plus,1,19.9,07/06/2020 18:02
85736,Junior Hamb,1,17.9,14/06/2020 19:12
85736,Tijuana Hamb,1,30.9,14/06/2020 19:12
85737,Classic Hamb,1,22.9,21/06/2020 20:05
85738,Junior Hamb Plus,1,19.9,24/06/2020 19:56
85739,Junior Hamb,1,17.9,06/06/2020 20:29
85740,Doble slim Hamb,1,27.9,25/06/2020 18:21
85741,Doble slim Hamb,1,27.9,01/06/2020 20:11
85742,Doble Hamb,1,31.9,24/06/2020 19:23
85743,Doble Hamb,1,31.9,22/06/2020 20:19
85744,Veg,1,20.5,20/06/2020 20:13
85745,Tijuana Hamb,1,30.9,04/06/2020 20:24
85746,Doble slim Hamb,1,27.9,30/06/2020 21:32
85747,Bacon Hamb,1,26.9,29/06/2020 20:12
85748,Doble Hamb,1,31.9,26/06/2020 19:12
85749,Classic Hamb,1,22.9,25/06/2020 19:35
85750,Heart attack Hamb,2,31.9,30/06/2020 20:15
85751,Classic Hamb,1,22.9,12/06/2020 20:06
85752,Junior Hamb Plus,1,19.9,14/06/2020 19:09
85753,Junior Hamb Plus,1,19.9,16/06/2020 19:40
85754,Veg,1,20.5,12/06/2020 21:35
85755,Junior Hamb Plus,1,19.9,18/06/2020 20:58
85756,Junior Hamb,1,17.9,03/06/2020 20:26
85757,Junior Hamb Plus,1,19.9,05/06/2020 20:59
85758,Classic Hamb,1,22.9,02/06/2020 19:25
85759,Doble Hamb,1,31.9,20/06/2020 20:08
85760,Bacon Hamb,1,26.9,04/06/2020 20:50
85761,Heart attack Hamb,1,31.9,10/06/2020 19:34
85762,Veg,1,20.5,17/06/2020 20:29
85763,Bacon Hamb,1,26.9,06/06/2020 21:48
85764,Junior Hamb,1,17.9,24/06/2020 21:59
85765,Bacon Hamb,1,26.9,30/06/2020 19:06
85766,Doble slim Hamb,1,27.9,12/06/2020 20:18
85767,Classic Hamb,1,22.9,02/06/2020 19:16
85768,Heart attack Hamb,2,31.9,11/06/2020 19:42
85769,Junior Hamb Plus,1,19.9,23/06/2020 20:19
85770,Bacon Hamb,1,26.9,12/06/2020 19:36
85771,Doble Hamb,1,31.9,21/06/2020 19:50
85772,Junior Hamb,1,17.9,05/06/2020 19:14
85772,Tijuana Hamb,1,30.9,05/06/2020 19:14
85773,Bacon Hamb,1,26.9,28/06/2020 21:18
85774,Veg,1,20.5,01/06/2020 19:14
85775,Classic Hamb,1,22.9,20/06/2020 18:26
85775,Doble Hamb,1,31.9,20/06/2020 18:26
85776,Junior Hamb Plus,1,19.9,25/06/2020 21:30
85777,Junior Hamb Plus,1,19.9,22/06/2020 18:27
85778,Doble slim Hamb,1,27.9,19/06/2020 18:12
85779,Junior Hamb,1,17.9,07/06/2020 19:24
85780,Junior Hamb,1,17.9,24/06/2020 21:14
85780,Tijuana Hamb,1,30.9,24/06/2020 21:14
85781,Tijuana Hamb,1,30.9,03/06/2020 19:43
85782,Tijuana Hamb,1,30.9,19/06/2020 19:22
85783,Classic Hamb,1,22.9,25/06/2020 19:45
85783,Doble Hamb,1,31.9,25/06/2020 19:45
85784,Junior Hamb,1,17.9,27/06/2020 20:53
85785,Doble slim Hamb,1,27.9,03/06/2020 19:42
85786,Doble slim Hamb,1,27.9,28/06/2020 20:05
85787,Junior Hamb Plus,1,19.9,19/06/2020 18:55
85788,Junior Hamb Plus,1,19.9,25/06/2020 20:52
85789,Veg,1,20.5,04/06/2020 20:01
85790,Junior Hamb Plus,1,19.9,24/06/2020 21:47
85791,Junior Hamb Plus,1,19.9,05/06/2020 20:24
85791,Tijuana Hamb,1,30.9,05/06/2020 20:24
85792,Doble Hamb,1,31.9,20/06/2020 20:07
85793,Bacon Hamb,1,26.9,11/06/2020 20:12
85794,Classic Hamb,1,22.9,19/06/2020 19:44
85795,Doble slim Hamb,1,27.9,01/06/2020 20:00
85796,Junior Hamb,1,17.9,03/06/2020 20:11
85797,Doble slim Hamb,1,27.9,02/06/2020 20:16
85798,Classic Hamb,1,22.9,15/06/2020 19:30
85799,Junior Hamb,1,17.9,12/06/2020 19:30
85799,Tijuana Hamb,1,30.9,12/06/2020 19:30
85800,Bacon Hamb,1,26.9,08/06/2020 20:10
85801,Junior Hamb,1,17.9,26/06/2020 18:55
85802,Doble Hamb,1,31.9,14/06/2020 20:04
85803,Tijuana Hamb,1,30.9,07/06/2020 19:09
85804,Junior Hamb,1,17.9,20/06/2020 18:30
85804,Tijuana Hamb,1,30.9,20/06/2020 18:30
85805,Junior Hamb Plus,1,19.9,22/06/2020 17:40
85806,Doble Hamb,1,31.9,18/06/2020 18:26
85807,Junior Hamb,1,17.9,30/06/2020 20:03
85808,Classic Hamb,1,22.9,08/06/2020 20:41
85809,Junior Hamb,1,17.9,05/06/2020 21:50
85810,Junior Hamb Plus,1,19.9,22/06/2020 21:37
85811,Junior Hamb Plus,1,19.9,24/06/2020 20:33
85812,Classic Hamb,1,22.9,15/06/2020 20:53
85813,Doble slim Hamb,1,27.9,12/06/2020 22:17
85814,Junior Hamb Plus,1,19.9,03/06/2020 18:44
85815,Classic Hamb,1,22.9,25/06/2020 18:36
85816,Junior Hamb,1,17.9,16/06/2020 20:38
85817,Doble Hamb,1,31.9,06/06/2020 20:31
85818,Junior Hamb,3,17.9,10/06/2020 17:45
85819,Bacon Hamb,1,26.9,18/06/2020 19:22
85820,Doble slim Hamb,1,27.9,22/06/2020 20:00
85821,Classic Hamb,1,22.9,13/06/2020 20:48
85822,Bacon Hamb,1,26.9,19/06/2020 21:38
85823,Bacon Hamb,1,26.9,04/06/2020 19:04
85824,Bacon Hamb,1,26.9,15/06/2020 20:02
85825,Classic Hamb,1,22.9,08/06/2020 20:01
85826,Doble Hamb,1,31.9,07/06/2020 21:11
85827,Junior Hamb,1,17.9,22/06/2020 19:20
85828,Classic Hamb,1,22.9,23/06/2020 18:23
85828,Veg,1,20.5,23/06/2020 18:23
85829,Monster Hamb,1,50.9,20/06/2020 20:07
85830,Junior Hamb,1,17.9,26/06/2020 19:45
85831,Doble slim Hamb,1,27.9,30/06/2020 21:01
85832,Classic Hamb,1,22.9,23/06/2020 19:13
85833,Doble Hamb,1,31.9,05/06/2020 19:57
85834,Heart attack Hamb,1,31.9,30/06/2020 19:04
85835,Tijuana Hamb,1,30.9,24/06/2020 22:07
85836,Junior Hamb,1,17.9,06/06/2020 19:47
85837,Junior Hamb,1,17.9,10/06/2020 19:01
85838,Junior Hamb,1,17.9,25/06/2020 20:53
85839,Doble slim Hamb,1,27.9,14/06/2020 20:42
85840,Doble slim Hamb,1,27.9,18/06/2020 19:53
85841,Junior Hamb,1,17.9,14/06/2020 19:56
85842,Classic Hamb,1,22.9,25/06/2020 21:07
85842,Doble Hamb,1,31.9,25/06/2020 21:07
85843,Junior Hamb,1,17.9,05/06/2020 21:25
85844,Bacon Hamb,1,26.9,06/06/2020 19:41
85845,Classic Hamb,1,22.9,05/06/2020 20:59
85846,Junior Hamb,1,17.9,14/06/2020 21:23
85846,Tijuana Hamb,1,30.9,14/06/2020 21:23
85847,Junior Hamb Plus,1,19.9,08/06/2020 21:11
85848,Classic Hamb,1,22.9,25/06/2020 19:27
85849,Junior Hamb,1,17.9,06/06/2020 19:19
85850,Tijuana Hamb,1,30.9,02/06/2020 21:13
85851,Doble Hamb,1,31.9,01/06/2020 20:26
85852,Doble Hamb,1,31.9,04/06/2020 20:18
85853,Junior Hamb,1,17.9,05/06/2020 18:38
85854,Junior Hamb,1,17.9,04/06/2020 19:39
85855,Classic Hamb,1,22.9,24/06/2020 21:30
85856,Junior Hamb Plus,1,19.9,25/06/2020 20:45
85857,Classic Hamb,1,22.9,13/06/2020 20:34
85858,Veg,1,20.5,20/06/2020 20:18
85859,Bacon Hamb,1,26.9,05/06/2020 20:33
85860,Junior Hamb Plus,1,19.9,15/06/2020 19:23
85861,Classic Hamb,1,22.9,24/06/2020 21:01
85862,Doble slim Hamb,1,27.9,08/06/2020 20:38
85863,Junior Hamb Plus,1,19.9,01/06/2020 18:41
85864,Tijuana Hamb,1,30.9,19/06/2020 19:44
85865,Doble Hamb,1,31.9,24/06/2020 20:21
85866,Tijuana Hamb,1,30.9,04/06/2020 19:35
85867,Bacon Hamb,1,26.9,09/06/2020 20:47
85868,Tijuana Hamb,1,30.9,28/06/2020 21:01
85869,Tijuana Hamb,1,30.9,17/06/2020 21:09
85870,Classic Hamb,1,22.9,05/06/2020 19:20
85870,Doble slim Hamb,1,27.9,05/06/2020 19:20
85871,Doble Hamb,1,31.9,29/06/2020 19:45
85872,Bacon Hamb,1,26.9,02/06/2020 18:11
85873,Junior Hamb,1,17.9,18/06/2020 20:11
85874,Tijuana Hamb,1,30.9,08/06/2020 19:23
85875,Bacon Hamb,1,26.9,27/06/2020 18:59
85876,Junior Hamb,1,17.9,15/06/2020 19:40
85877,Doble slim Hamb,1,27.9,01/06/2020 20:01
85878,Classic Hamb,1,22.9,19/06/2020 20:19
85879,Classic Hamb,1,22.9,18/06/2020 20:13
85880,Classic Hamb,1,22.9,14/06/2020 20:16
85881,Junior Hamb Plus,1,19.9,13/06/2020 19:55
85882,Doble slim Hamb,1,27.9,13/06/2020 20:03
85883,Doble Hamb,1,31.9,16/06/2020 18:46
85884,Doble slim Hamb,1,27.9,25/06/2020 20:29
85885,Junior Hamb Plus,1,19.9,04/06/2020 21:11
85886,Classic Hamb,1,22.9,06/06/2020 18:21
85886,Doble Hamb,1,31.9,06/06/2020 18:21
85887,Junior Hamb Plus,1,19.9,18/06/2020 20:17
85888,Veg,1,20.5,19/06/2020 19:37
85889,Junior Hamb Plus,1,19.9,22/06/2020 20:44
85890,Doble slim Hamb,1,27.9,15/06/2020 19:43
