ID,Quantity Ordered,Product,Price,Date
33756,Classic Hamb,1,22.9,20/03/2020 17:41
33756,Doble Hamb,1,31.9,20/03/2020 17:41
33756,Veg,1,20.5,20/03/2020 17:41
33757,Classic Hamb,1,22.9,04/03/2020 21:07
33758,Junior Hamb,1,17.9,11/03/2020 19:43
33759,Monster Hamb,1,50.9,21/03/2020 19:37
33760,Tijuana Hamb,1,30.9,22/03/2020 21:01
33761,Tijuana Hamb,1,30.9,03/03/2020 19:29
33762,Junior Hamb Plus,1,19.9,09/03/2020 18:58
33763,Bacon Hamb,1,26.9,14/03/2020 19:51
33764,Bacon Hamb,1,26.9,15/03/2020 19:25
33765,Junior Hamb Plus,1,19.9,15/03/2020 18:36
33766,Junior Hamb,1,17.9,09/03/2020 17:11
33767,Classic Hamb,1,22.9,14/03/2020 19:39
33768,Junior Hamb Plus,1,19.9,09/03/2020 20:25
33769,Veg,1,20.5,23/03/2020 20:15
33770,Doble slim Hamb,1,27.9,14/03/2020 21:12
33771,Tijuana Hamb,1,30.9,09/03/2020 18:42
33772,Tijuana Hamb,1,30.9,12/03/2020 20:01
33773,Bacon Hamb,1,26.9,01/03/2020 18:57
33774,Bacon Hamb,1,26.9,23/03/2020 18:45
33775,Heart attack Hamb,1,31.9,16/03/2020 20:16
33776,Doble Hamb,1,31.9,24/03/2020 20:20
33777,Classic Hamb,1,22.9,27/03/2020 19:39
33778,Doble slim Hamb,1,27.9,30/03/2020 19:42
33779,Tijuana Hamb,1,30.9,11/03/2020 21:04
33780,Junior Hamb Plus,1,19.9,13/03/2020 17:45
33781,Junior Hamb Plus,1,19.9,08/03/2020 19:21
33782,Junior Hamb,1,17.9,18/03/2020 19:10
33782,Tijuana Hamb,1,30.9,18/03/2020 19:10
33783,Junior Hamb Plus,1,19.9,10/03/2020 21:03
33783,Tijuana Hamb,1,30.9,10/03/2020 21:03
33784,Junior Hamb Plus,1,19.9,27/03/2020 19:28
33784,Bacon Hamb,1,26.9,27/03/2020 19:28
33785,Classic Hamb,1,22.9,02/03/2020 20:40
33786,Junior Hamb Plus,1,19.9,14/03/2020 20:38
33787,Monster Hamb,1,50.9,16/03/2020 21:06
33788,Junior Hamb,1,17.9,04/03/2020 21:18
33789,Doble Hamb,1,31.9,04/03/2020 20:50
33790,Junior Hamb Plus,1,19.9,23/03/2020 20:41
33791,Junior Hamb Plus,1,19.9,24/03/2020 19:37
33792,Doble slim Hamb,1,27.9,05/03/2020 20:28
33793,Doble Hamb,1,31.9,07/03/2020 20:48
33794,Heart attack Hamb,1,31.9,13/03/2020 19:04
33795,Bacon Hamb,1,26.9,13/03/2020 20:53
33796,Junior Hamb Plus,1,19.9,25/03/2020 20:32
33797,Junior Hamb,1,17.9,04/03/2020 21:01
33798,Junior Hamb,1,17.9,30/03/2020 20:06
33799,Junior Hamb Plus,1,19.9,13/03/2020 18:12
33800,Classic Hamb,1,22.9,31/03/2020 21:30
33801,Doble slim Hamb,1,27.9,07/03/2020 18:57
33802,Junior Hamb,1,17.9,16/03/2020 20:11
33803,Junior Hamb Plus,1,19.9,31/03/2020 19:25
33804,Junior Hamb Plus,1,19.9,11/03/2020 20:24
33805,Junior Hamb,2,17.9,19/03/2020 18:03
33806,Junior Hamb Plus,1,19.9,03/03/2020 20:35
33807,Tijuana Hamb,1,30.9,08/03/2020 18:19
33808,Classic Hamb,1,22.9,24/03/2020 19:01
33808,Doble Hamb,1,31.9,24/03/2020 19:01
33809,Junior Hamb Plus,1,19.9,03/03/2020 19:45
33810,Bacon Hamb,1,26.9,06/03/2020 20:03
33811,Junior Hamb Plus,1,19.9,19/03/2020 18:44
33812,Classic Hamb,1,22.9,04/03/2020 21:10
33813,Junior Hamb,1,17.9,29/03/2020 19:59
33814,Junior Hamb Plus,1,19.9,07/03/2020 20:54
33815,Doble Hamb,1,31.9,01/03/2020 19:36
33816,Doble slim Hamb,1,27.9,08/03/2020 18:27
33817,Doble slim Hamb,1,27.9,29/03/2020 20:22
33818,Doble Hamb,1,31.9,21/03/2020 17:34
33819,Bacon Hamb,2,26.9,10/03/2020 20:15
33820,Doble slim Hamb,1,27.9,22/03/2020 18:51
33821,Bacon Hamb,1,26.9,26/03/2020 20:39
33822,Monster Hamb,1,50.9,28/03/2020 22:26
33823,Doble slim Hamb,1,27.9,17/03/2020 19:10
33824,Doble slim Hamb,1,27.9,03/03/2020 19:26
33825,Doble Hamb,1,31.9,11/03/2020 22:08
33826,Doble slim Hamb,1,27.9,24/03/2020 19:15
33827,Junior Hamb Plus,1,19.9,24/03/2020 19:36
33828,Doble Hamb,1,31.9,08/03/2020 19:59
33829,Doble slim Hamb,1,27.9,23/03/2020 19:15
33830,Doble Hamb,1,31.9,01/03/2020 20:56
33831,Classic Hamb,1,22.9,02/03/2020 21:20
33832,Doble Hamb,1,31.9,25/03/2020 20:33
33833,Junior Hamb,1,17.9,16/03/2020 19:02
33834,Doble slim Hamb,1,27.9,13/03/2020 18:52
33835,Doble Hamb,1,31.9,02/03/2020 20:25
33836,Bacon Hamb,1,26.9,22/03/2020 19:56
33837,Doble slim Hamb,1,27.9,14/03/2020 21:19
33838,Junior Hamb Plus,1,19.9,11/03/2020 18:52
33839,Doble slim Hamb,1,27.9,29/03/2020 20:31
33840,Junior Hamb Plus,1,19.9,28/03/2020 18:10
33841,Bacon Hamb,1,26.9,04/03/2020 20:20
33842,Bacon Hamb,1,26.9,29/03/2020 20:53
33843,Classic Hamb,1,22.9,28/03/2020 19:36
33844,Doble Hamb,2,31.9,07/03/2020 20:03
33845,Classic Hamb,1,22.9,22/03/2020 19:28
33845,Doble Hamb,1,31.9,22/03/2020 19:28
33846,Junior Hamb,1,17.9,26/03/2020 19:24
33847,Doble slim Hamb,1,27.9,07/03/2020 19:17
33848,Doble Hamb,1,31.9,01/03/2020 20:15
33849,Junior Hamb Plus,1,19.9,15/03/2020 21:19
33850,Classic Hamb,1,22.9,18/03/2020 21:32
33851,Bacon Hamb,1,26.9,21/03/2020 17:35
33852,Monster Hamb,1,50.9,24/03/2020 19:02
33853,Doble slim Hamb,1,27.9,18/03/2020 20:09
33854,Junior Hamb,1,17.9,26/03/2020 18:41
33855,Doble Hamb,1,31.9,02/03/2020 20:08
33856,Junior Hamb,1,17.9,20/03/2020 21:11
33856,Tijuana Hamb,1,30.9,20/03/2020 21:11
33857,Junior Hamb Plus,1,19.9,06/03/2020 20:11
33858,Classic Hamb,1,22.9,13/03/2020 20:16
33859,Classic Hamb,1,22.9,18/03/2020 21:39
33860,Junior Hamb Plus,1,19.9,14/03/2020 19:26
33861,Junior Hamb,1,17.9,30/03/2020 21:05
33862,Junior Hamb Plus,1,19.9,13/03/2020 20:59
33863,Junior Hamb,1,17.9,30/03/2020 19:38
33864,Doble slim Hamb,1,27.9,08/03/2020 20:15
33865,Doble Hamb,1,31.9,26/03/2020 20:13
33866,Bacon Hamb,1,26.9,15/03/2020 20:02
33867,Classic Hamb,1,22.9,23/03/2020 20:40
33868,Veg,1,20.5,20/03/2020 21:41
33869,Bacon Hamb,1,26.9,10/03/2020 21:21
33870,Doble slim Hamb,1,27.9,07/03/2020 19:23
33871,Bacon Hamb,1,26.9,31/03/2020 20:03
33872,Junior Hamb,2,17.9,05/03/2020 21:06
33873,Tijuana Hamb,1,30.9,21/03/2020 19:50
33874,Doble slim Hamb,1,27.9,22/03/2020 19:04
33875,Classic Hamb,1,22.9,05/03/2020 20:05
33876,Junior Hamb Plus,1,19.9,09/03/2020 18:41
33877,Junior Hamb Plus,2,19.9,02/03/2020 18:35
33878,Doble slim Hamb,1,27.9,27/03/2020 19:55
33879,Junior Hamb,1,17.9,30/03/2020 18:24
33880,Doble Hamb,1,31.9,11/03/2020 19:45
33881,Bacon Hamb,1,26.9,05/03/2020 20:46
33882,Junior Hamb Plus,1,19.9,15/03/2020 19:54
33883,Doble Hamb,1,31.9,21/03/2020 20:53
33884,Junior Hamb Plus,1,19.9,12/03/2020 22:15
33885,Doble slim Hamb,2,27.9,02/03/2020 21:29
33886,Junior Hamb Plus,1,19.9,13/03/2020 20:17
33887,Veg,2,20.5,24/03/2020 19:54
33888,Bacon Hamb,1,26.9,25/03/2020 22:01
33889,Classic Hamb,1,22.9,24/03/2020 20:01
33889,Doble Hamb,1,31.9,24/03/2020 20:01
33890,Doble Hamb,1,31.9,14/03/2020 20:46
33891,Junior Hamb Plus,1,19.9,15/03/2020 19:35
33892,Classic Hamb,1,22.9,14/03/2020 20:23
33893,Junior Hamb,1,17.9,03/03/2020 21:55
33894,Doble slim Hamb,1,27.9,12/03/2020 20:09
33895,Junior Hamb Plus,1,19.9,23/03/2020 18:09
33896,Junior Hamb,2,17.9,09/03/2020 20:03
33897,Junior Hamb Plus,1,19.9,20/03/2020 20:21
33898,Heart attack Hamb,1,31.9,05/03/2020 18:24
33899,Tijuana Hamb,1,30.9,04/03/2020 20:58
33900,Doble Hamb,1,31.9,22/03/2020 21:18
33901,Junior Hamb,1,17.9,13/03/2020 17:53
33902,Tijuana Hamb,1,30.9,22/03/2020 20:40
33903,Junior Hamb,1,17.9,30/03/2020 19:32
33904,Junior Hamb Plus,1,19.9,29/03/2020 18:45
33905,Junior Hamb Plus,2,19.9,21/03/2020 20:04
33906,Junior Hamb Plus,1,19.9,22/03/2020 20:43
33907,Junior Hamb,1,17.9,23/03/2020 19:47
33908,Bacon Hamb,1,26.9,28/03/2020 19:39
33909,Heart attack Hamb,1,31.9,06/03/2020 19:08
33910,Doble slim Hamb,1,27.9,27/03/2020 20:44
33911,Classic Hamb,1,22.9,29/03/2020 19:39
33912,Doble Hamb,1,31.9,07/03/2020 20:07
33913,Classic Hamb,1,22.9,13/03/2020 20:39
33914,Junior Hamb Plus,1,19.9,31/03/2020 18:13
33915,Tijuana Hamb,1,30.9,02/03/2020 21:09
33916,Bacon Hamb,1,26.9,19/03/2020 17:54
33917,Junior Hamb Plus,1,19.9,29/03/2020 20:37
33918,Doble slim Hamb,1,27.9,24/03/2020 19:33
33919,Classic Hamb,1,22.9,05/03/2020 20:48
33920,Junior Hamb Plus,1,19.9,23/03/2020 21:28
33921,Doble Hamb,1,31.9,01/03/2020 19:36
33922,Junior Hamb,1,17.9,28/03/2020 19:27
33923,Veg,1,20.5,09/03/2020 20:13
33924,Classic Hamb,1,22.9,24/03/2020 19:39
33925,Classic Hamb,1,22.9,29/03/2020 19:35
33926,Doble Hamb,1,31.9,11/03/2020 19:51
33927,Classic Hamb,1,22.9,25/03/2020 21:40
33928,Monster Hamb,1,50.9,01/03/2020 19:30
33929,Junior Hamb,1,17.9,05/03/2020 19:16
33930,Doble slim Hamb,1,27.9,05/03/2020 20:18
33931,Bacon Hamb,1,26.9,15/03/2020 20:32
33932,Junior Hamb Plus,1,19.9,27/03/2020 18:54
33933,Classic Hamb,1,22.9,04/03/2020 21:27
