ID,Quantity Ordered,Product,Price,Date
67663,Doble slim Hamb,1,27.9,23/05/2020 21:32
67664,Junior Hamb,1,17.9,16/05/2020 18:50
67665,Junior Hamb,1,17.9,28/05/2020 19:08
67666,Doble Hamb,1,31.9,16/05/2020 20:02
67667,Doble slim Hamb,1,27.9,30/05/2020 21:19
67668,Doble slim Hamb,1,27.9,05/05/2020 20:30
67669,Bacon Hamb,1,26.9,25/05/2020 18:35
67670,Heart attack Hamb,1,31.9,07/05/2020 18:36
67671,Doble slim Hamb,1,27.9,09/05/2020 21:58
67672,Doble Hamb,1,31.9,05/05/2020 20:22
67673,Classic Hamb,1,22.9,06/05/2020 19:10
67674,Junior Hamb,1,17.9,30/05/2020 21:11
67675,Bacon Hamb,1,26.9,02/05/2020 19:46
67676,Doble slim Hamb,1,27.9,28/05/2020 18:39
67677,Classic Hamb,1,22.9,02/05/2020 21:47
67677,Doble Hamb,1,31.9,02/05/2020 21:47
67678,Tijuana Hamb,1,30.9,23/05/2020 17:41
67679,Classic Hamb,1,22.9,29/05/2020 20:02
67680,Bacon Hamb,1,26.9,26/05/2020 20:01
67681,Classic Hamb,1,22.9,04/05/2020 21:34
67682,Bacon Hamb,1,26.9,21/05/2020 19:41
67683,Junior Hamb Plus,1,19.9,22/05/2020 20:57
67684,Classic Hamb,1,22.9,24/05/2020 21:01
67685,Classic Hamb,2,22.9,08/05/2020 21:42
67686,Doble slim Hamb,1,27.9,09/05/2020 18:50
67687,Classic Hamb,1,22.9,19/05/2020 18:37
67687,Doble slim Hamb,2,27.9,19/05/2020 18:37
67688,Doble slim Hamb,1,27.9,21/05/2020 19:14
67689,Doble Hamb,1,31.9,05/05/2020 18:50
67690,Doble slim Hamb,1,27.9,12/05/2020 20:32
67691,Classic Hamb,1,22.9,12/05/2020 17:54
67691,Doble Hamb,1,31.9,12/05/2020 17:54
67692,Tijuana Hamb,1,30.9,23/05/2020 20:52
67693,Veg,1,20.5,26/05/2020 19:27
