ID,Quantity Ordered,Product,Price,Date
172559,Doble slim Hamb,1,27.9,07/11/2020 19:35
172560,Tijuana Hamb,1,30.9,08/11/2020 20:09
172561,Classic Hamb,1,22.9,28/11/2020 20:06
172562,Doble Hamb,1,31.9,20/11/2020 21:56
172563,Doble slim Hamb,1,27.9,17/11/2020 20:12
172564,Doble Hamb,1,31.9,06/11/2020 20:59
172565,Junior Hamb,1,17.9,26/11/2020 20:02
172566,Tijuana Hamb,1,30.9,30/11/2020 20:55
172567,Classic Hamb,1,22.9,29/11/2020 21:51
172568,Junior Hamb Plus,1,19.9,07/11/2020 20:21
172569,Junior Hamb,1,17.9,06/11/2020 18:02
172570,Classic Hamb,1,22.9,14/11/2020 20:45
172571,Doble slim Hamb,1,27.9,29/11/2020 18:48
172572,Doble slim Hamb,1,27.9,27/11/2020 21:23
172573,Classic Hamb,1,22.9,08/11/2020 19:59
172573,Veg,1,20.5,08/11/2020 19:59
172574,Junior Hamb,1,17.9,09/11/2020 21:10
172575,Tijuana Hamb,1,30.9,03/11/2020 20:18
172576,Doble Hamb,1,31.9,09/11/2020 18:31
172577,Junior Hamb Plus,2,19.9,30/11/2020 20:25
172578,Doble slim Hamb,2,27.9,03/11/2020 18:58
172579,Doble Hamb,2,31.9,24/11/2020 19:52
172580,Doble slim Hamb,1,27.9,17/11/2020 20:28
172581,Bacon Hamb,1,26.9,03/11/2020 19:32
172582,Bacon Hamb,1,26.9,21/11/2020 20:09
172583,Doble slim Hamb,1,27.9,30/11/2020 19:16
172584,Junior Hamb,1,17.9,04/11/2020 18:56
172585,Classic Hamb,1,22.9,14/11/2020 19:48
172586,Junior Hamb,1,17.9,01/11/2020 19:46
172587,Doble slim Hamb,1,27.9,14/11/2020 18:55
172588,Junior Hamb Plus,1,19.9,27/11/2020 21:15
172589,Tijuana Hamb,1,30.9,07/11/2020 21:25
172590,Doble slim Hamb,1,27.9,28/11/2020 20:06
172591,Classic Hamb,1,22.9,08/11/2020 20:45
172591,Doble Hamb,1,31.9,08/11/2020 20:45
172592,Classic Hamb,1,22.9,27/11/2020 20:53
172592,Doble Hamb,1,31.9,27/11/2020 20:53
172593,Junior Hamb Plus,1,19.9,14/11/2020 20:18
172594,Doble slim Hamb,1,27.9,05/11/2020 18:50
172595,Classic Hamb,1,22.9,06/11/2020 21:27
172596,Junior Hamb,1,17.9,25/11/2020 19:34
172597,Bacon Hamb,1,26.9,09/11/2020 21:45
172598,Doble slim Hamb,1,27.9,01/11/2020 20:40
172599,Junior Hamb Plus,1,19.9,02/11/2020 19:24
172600,Junior Hamb,1,17.9,26/11/2020 22:33
172601,Bacon Hamb,1,26.9,29/11/2020 21:13
172602,Heart attack Hamb,1,31.9,18/11/2020 21:08
172603,Junior Hamb Plus,1,19.9,29/11/2020 20:37
172604,Junior Hamb Plus,1,19.9,17/11/2020 20:20
172605,Junior Hamb Plus,1,19.9,22/11/2020 17:39
172606,Veg,1,20.5,24/11/2020 19:16
172607,Classic Hamb,1,22.9,20/11/2020 17:44
172607,Veg,1,20.5,20/11/2020 17:44
172608,Junior Hamb Plus,1,19.9,05/11/2020 19:12
172609,Classic Hamb,1,22.9,26/11/2020 21:52
172609,Veg,2,20.5,26/11/2020 21:52
172610,Doble Hamb,1,31.9,02/11/2020 20:30
172611,Doble slim Hamb,1,27.9,05/11/2020 19:10
172612,Classic Hamb,1,22.9,12/11/2020 19:26
172613,Bacon Hamb,1,26.9,18/11/2020 18:35
172614,Veg,1,20.5,12/11/2020 21:49
172615,Junior Hamb Plus,1,19.9,20/11/2020 19:16
172616,Doble slim Hamb,1,27.9,13/11/2020 18:33
172617,Junior Hamb,2,17.9,08/11/2020 18:47
172618,Veg,1,20.5,10/11/2020 21:29
172619,Junior Hamb,1,17.9,15/11/2020 20:28
172620,Doble Hamb,1,31.9,21/11/2020 19:45
172621,Tijuana Hamb,1,30.9,19/11/2020 19:44
172622,Bacon Hamb,1,26.9,04/11/2020 21:20
172623,Classic Hamb,1,22.9,20/11/2020 20:28
172624,Doble Hamb,1,31.9,15/11/2020 19:44
172625,Monster Hamb,1,50.9,22/11/2020 20:30
172626,Classic Hamb,1,22.9,12/11/2020 19:51
172627,Classic Hamb,2,22.9,11/11/2020 22:15
172628,Junior Hamb,1,17.9,30/11/2020 18:40
172629,Junior Hamb Plus,1,19.9,05/11/2020 23:01
172630,Junior Hamb Plus,1,19.9,18/11/2020 20:49
172630,Bacon Hamb,1,26.9,18/11/2020 20:49
172631,Junior Hamb Plus,1,19.9,20/11/2020 18:58
172632,Junior Hamb Plus,1,19.9,27/11/2020 21:06
172633,Doble Hamb,1,31.9,25/11/2020 20:09
172634,Classic Hamb,1,22.9,07/11/2020 20:54
172634,Veg,1,20.5,07/11/2020 20:54
172635,Classic Hamb,1,22.9,26/11/2020 18:12
172636,Veg,1,20.5,17/11/2020 21:43
172637,Junior Hamb Plus,1,19.9,01/11/2020 19:08
172638,Doble slim Hamb,1,27.9,14/11/2020 20:19
172639,Tijuana Hamb,1,30.9,15/11/2020 20:31
172640,Bacon Hamb,1,26.9,02/11/2020 19:29
172641,Junior Hamb Plus,1,19.9,26/11/2020 20:37
172642,Doble slim Hamb,1,27.9,21/11/2020 20:02
172643,Tijuana Hamb,1,30.9,09/11/2020 19:16
172644,Classic Hamb,1,22.9,12/11/2020 21:22
172645,Junior Hamb Plus,1,19.9,25/11/2020 17:52
172646,Veg,1,20.5,02/11/2020 19:27
172647,Classic Hamb,1,22.9,09/11/2020 20:45
172648,Heart attack Hamb,1,31.9,23/11/2020 19:39
172649,Bacon Hamb,1,26.9,09/11/2020 21:31
172650,Bacon Hamb,1,26.9,20/11/2020 21:11
172651,Doble Hamb,1,31.9,04/11/2020 19:42
172652,Junior Hamb,1,17.9,20/11/2020 18:03
172652,Bacon Hamb,1,26.9,20/11/2020 18:03
172653,Tijuana Hamb,1,30.9,17/11/2020 19:29
172654,Doble slim Hamb,1,27.9,01/11/2020 21:24
172655,Tijuana Hamb,1,30.9,18/11/2020 20:38
172656,Doble Hamb,1,31.9,05/11/2020 19:52
172657,Classic Hamb,1,22.9,18/11/2020 21:58
172657,Doble Hamb,1,31.9,18/11/2020 21:58
172658,Doble slim Hamb,1,27.9,13/11/2020 20:05
172659,Classic Hamb,1,22.9,25/11/2020 20:09
172659,Doble slim Hamb,1,27.9,25/11/2020 20:09
172660,Veg,2,20.5,23/11/2020 20:37
172661,Veg,1,20.5,01/11/2020 18:45
172662,Junior Hamb,1,17.9,16/11/2020 19:42
172663,Doble slim Hamb,1,27.9,23/11/2020 21:05
172664,Doble slim Hamb,1,27.9,10/11/2020 20:17
172665,Doble slim Hamb,1,27.9,16/11/2020 19:04
172666,Junior Hamb Plus,1,19.9,28/11/2020 19:50
172666,Bacon Hamb,1,26.9,28/11/2020 19:50
172667,Junior Hamb Plus,1,19.9,10/11/2020 21:21
172668,Junior Hamb,1,17.9,13/11/2020 19:48
172669,Heart attack Hamb,1,31.9,22/11/2020 20:00
172670,Tijuana Hamb,1,30.9,01/11/2020 20:59
172671,Doble slim Hamb,1,27.9,10/11/2020 18:28
172672,Junior Hamb Plus,1,19.9,19/11/2020 20:02
172673,Doble slim Hamb,1,27.9,20/11/2020 19:47
172674,Classic Hamb,1,22.9,12/11/2020 21:34
172675,Doble slim Hamb,1,27.9,29/11/2020 21:21
172676,Veg,1,20.5,08/11/2020 19:12
172677,Tijuana Hamb,1,30.9,08/11/2020 16:47
172678,Classic Hamb,1,22.9,08/11/2020 18:58
172679,Junior Hamb,1,17.9,18/11/2020 21:23
172680,Classic Hamb,1,22.9,17/11/2020 20:26
172681,Classic Hamb,1,22.9,28/11/2020 20:29
172682,Doble slim Hamb,1,27.9,03/11/2020 20:47
172683,Bacon Hamb,1,26.9,28/11/2020 20:17
172684,Junior Hamb,1,17.9,15/11/2020 19:57
172684,Tijuana Hamb,1,30.9,15/11/2020 19:57
172685,Classic Hamb,1,22.9,19/11/2020 19:38
172686,Junior Hamb Plus,1,19.9,26/11/2020 20:26
172687,Veg,1,20.5,09/11/2020 19:11
172688,Doble slim Hamb,1,27.9,25/11/2020 21:38
172689,Heart attack Hamb,1,31.9,13/11/2020 20:26
172690,Doble slim Hamb,1,27.9,08/11/2020 20:21
172691,Doble slim Hamb,2,27.9,22/11/2020 21:14
172692,Bacon Hamb,1,26.9,17/11/2020 19:54
172693,Classic Hamb,1,22.9,24/11/2020 19:11
172694,Junior Hamb Plus,1,19.9,21/11/2020 19:26
172695,Tijuana Hamb,1,30.9,04/11/2020 20:58
172696,Junior Hamb,1,17.9,09/11/2020 19:30
172697,Junior Hamb,1,17.9,12/11/2020 19:57
172698,Tijuana Hamb,1,30.9,22/11/2020 19:21
172699,Heart attack Hamb,1,31.9,28/11/2020 21:03
172700,Classic Hamb,1,22.9,04/11/2020 20:30
172701,Doble slim Hamb,1,27.9,16/11/2020 20:14
172702,Classic Hamb,2,22.9,04/11/2020 17:53
172703,Junior Hamb Plus,1,19.9,11/11/2020 18:56
172704,Doble Hamb,1,31.9,03/11/2020 21:13
172705,Classic Hamb,1,22.9,13/11/2020 21:20
172706,Junior Hamb,1,17.9,29/11/2020 22:00
172707,Junior Hamb Plus,1,19.9,27/11/2020 20:09
172708,Doble slim Hamb,1,27.9,29/11/2020 20:40
172709,Classic Hamb,1,22.9,07/11/2020 18:14
172709,Doble Hamb,1,31.9,07/11/2020 18:14
172710,Junior Hamb,1,17.9,25/11/2020 19:14
172711,Doble slim Hamb,1,27.9,30/11/2020 19:40
172712,Doble slim Hamb,1,27.9,29/11/2020 19:54
172713,Doble slim Hamb,1,27.9,16/11/2020 20:26
172714,Classic Hamb,1,22.9,12/11/2020 18:36
172715,Junior Hamb,1,17.9,26/11/2020 19:17
172716,Junior Hamb,1,17.9,01/11/2020 20:29
172716,Tijuana Hamb,2,30.9,01/11/2020 20:29
172717,Bacon Hamb,1,26.9,03/11/2020 21:00
172718,Junior Hamb Plus,1,19.9,23/11/2020 22:11
172719,Heart attack Hamb,1,31.9,12/11/2020 19:52
172720,Bacon Hamb,1,26.9,26/11/2020 19:36
172721,Junior Hamb,1,17.9,13/11/2020 20:17
172722,Bacon Hamb,1,26.9,05/11/2020 21:16
172723,Classic Hamb,1,22.9,18/11/2020 19:30
172724,Classic Hamb,1,22.9,13/11/2020 18:26
172724,Doble Hamb,1,31.9,13/11/2020 18:26
172725,Bacon Hamb,1,26.9,30/11/2020 20:13
