ID,Quantity Ordered,Product,Price,Date
156430,Doble slim Hamb,1,27.9,11/10/2020 20:14
156431,Doble slim Hamb,1,27.9,04/10/2020 19:48
156432,Junior Hamb Plus,1,19.9,26/10/2020 19:42
156432,Tijuana Hamb,1,30.9,26/10/2020 19:42
156433,Doble Hamb,1,31.9,29/10/2020 19:32
156434,Classic Hamb,1,22.9,02/10/2020 21:21
156434,Doble Hamb,1,31.9,02/10/2020 21:21
156434,Veg,1,20.5,02/10/2020 21:21
156435,Junior Hamb Plus,1,19.9,26/10/2020 19:58
156436,Bacon Hamb,1,26.9,12/10/2020 21:12
156437,Junior Hamb Plus,1,19.9,15/10/2020 19:17
156438,Junior Hamb,1,17.9,17/10/2020 19:47
156439,Junior Hamb Plus,1,19.9,10/10/2020 19:25
156440,Classic Hamb,1,22.9,14/10/2020 20:38
156441,Doble Hamb,1,31.9,25/10/2020 21:51
156442,Heart attack Hamb,1,31.9,20/10/2020 21:08
156443,Monster Hamb,1,50.9,28/10/2020 21:04
156444,Doble slim Hamb,1,27.9,01/10/2020 19:46
156445,Junior Hamb Plus,1,19.9,08/10/2020 19:28
156446,Doble Hamb,1,31.9,12/10/2020 20:05
156447,Doble slim Hamb,1,27.9,31/10/2020 20:23
156448,Junior Hamb,1,17.9,26/10/2020 21:35
156449,Monster Hamb,1,50.9,08/10/2020 17:12
156450,Doble slim Hamb,1,27.9,14/10/2020 19:45
156451,Classic Hamb,1,22.9,08/10/2020 19:51
156452,Junior Hamb,1,17.9,15/10/2020 19:35
156453,Bacon Hamb,1,26.9,19/10/2020 19:17
156454,Doble Hamb,1,31.9,03/10/2020 19:18
156455,Tijuana Hamb,1,30.9,17/10/2020 21:20
156456,Junior Hamb Plus,1,19.9,17/10/2020 19:50
156457,Junior Hamb Plus,1,19.9,09/10/2020 19:48
156458,Junior Hamb Plus,1,19.9,30/10/2020 20:21
156459,Doble slim Hamb,1,27.9,09/10/2020 20:18
156460,Tijuana Hamb,1,30.9,20/10/2020 19:04
156461,Classic Hamb,2,22.9,24/10/2020 21:44
156462,Doble Hamb,1,31.9,11/10/2020 19:38
156463,Bacon Hamb,1,26.9,03/10/2020 18:47
156464,Classic Hamb,1,22.9,14/10/2020 19:55
156465,Classic Hamb,1,22.9,25/10/2020 19:26
156466,Doble Hamb,1,31.9,03/10/2020 20:40
156467,Junior Hamb,1,17.9,29/10/2020 21:09
156468,Doble Hamb,1,31.9,08/10/2020 21:30
156469,Classic Hamb,1,22.9,16/10/2020 20:03
156470,Doble Hamb,1,31.9,18/10/2020 19:43
156471,Classic Hamb,1,22.9,07/10/2020 18:48
156472,Junior Hamb Plus,1,19.9,08/10/2020 20:03
156473,Veg,1,20.5,13/10/2020 20:36
156474,Bacon Hamb,1,26.9,16/10/2020 20:05
156475,Junior Hamb Plus,1,19.9,14/10/2020 18:57
156476,Classic Hamb,1,22.9,06/10/2020 18:04
156477,Veg,1,20.5,05/10/2020 18:36
156478,Junior Hamb,2,17.9,17/10/2020 19:40
156479,Junior Hamb,1,17.9,31/10/2020 20:03
156480,Doble slim Hamb,1,27.9,15/10/2020 17:28
156481,Heart attack Hamb,1,31.9,07/10/2020 19:45
156482,Doble Hamb,1,31.9,19/10/2020 21:29
156483,Classic Hamb,2,22.9,06/10/2020 19:58
156483,Veg,1,20.5,06/10/2020 19:58
156484,Bacon Hamb,1,26.9,12/10/2020 20:11
156485,Junior Hamb Plus,1,19.9,09/10/2020 18:10
156486,Junior Hamb Plus,2,19.9,01/10/2020 20:44
156487,Bacon Hamb,1,26.9,30/10/2020 21:10
156488,Junior Hamb Plus,1,19.9,15/10/2020 19:01
156489,Junior Hamb,1,17.9,10/10/2020 18:51
156490,Junior Hamb Plus,1,19.9,25/10/2020 19:17
156491,Heart attack Hamb,1,31.9,08/10/2020 20:16
156492,Classic Hamb,1,22.9,29/10/2020 20:10
156493,Junior Hamb Plus,1,19.9,27/10/2020 19:43
156494,Doble slim Hamb,1,27.9,13/10/2020 20:41
156495,Junior Hamb Plus,1,19.9,20/10/2020 18:40
156496,Doble slim Hamb,1,27.9,08/10/2020 21:15
156497,Tijuana Hamb,1,30.9,12/10/2020 20:47
156498,Doble Hamb,1,31.9,27/10/2020 20:22
156499,Doble slim Hamb,1,27.9,01/10/2020 20:11
156500,Doble Hamb,1,31.9,28/10/2020 20:01
156501,Monster Hamb,1,50.9,27/10/2020 20:36
156502,Doble slim Hamb,1,27.9,11/10/2020 20:28
156503,Heart attack Hamb,1,31.9,02/10/2020 20:33
156504,Heart attack Hamb,1,31.9,10/10/2020 20:19
156505,Veg,1,20.5,10/10/2020 20:17
156506,Tijuana Hamb,1,30.9,25/10/2020 20:51
156507,Junior Hamb Plus,2,19.9,08/10/2020 19:40
156508,Junior Hamb,1,17.9,01/10/2020 19:26
156509,Junior Hamb Plus,1,19.9,15/10/2020 19:52
156510,Doble Hamb,1,31.9,05/10/2020 20:56
156511,Junior Hamb,1,17.9,19/10/2020 19:33
156512,Tijuana Hamb,1,30.9,22/10/2020 20:09
156513,Tijuana Hamb,1,30.9,19/10/2020 20:32
156514,Tijuana Hamb,1,30.9,17/10/2020 20:38
156515,Tijuana Hamb,1,30.9,05/10/2020 20:46
156516,Heart attack Hamb,1,31.9,24/10/2020 20:42
156517,Classic Hamb,1,22.9,12/10/2020 21:25
156518,Junior Hamb,1,17.9,19/10/2020 19:36
156519,Classic Hamb,1,22.9,11/10/2020 21:13
156519,Doble Hamb,1,31.9,11/10/2020 21:13
156520,Bacon Hamb,1,26.9,05/10/2020 21:43
156521,Doble slim Hamb,1,27.9,07/10/2020 19:23
156522,Classic Hamb,1,22.9,14/10/2020 20:03
156522,Doble Hamb,1,31.9,14/10/2020 20:03
156523,Junior Hamb,1,17.9,31/10/2020 20:29
156524,Doble slim Hamb,1,27.9,12/10/2020 19:40
156525,Classic Hamb,1,22.9,18/10/2020 19:44
156525,Doble Hamb,1,31.9,18/10/2020 19:44
156526,Junior Hamb,1,17.9,17/10/2020 22:25
156527,Junior Hamb Plus,1,19.9,03/10/2020 17:52
156528,Bacon Hamb,1,26.9,13/10/2020 19:48
156529,Veg,1,20.5,23/10/2020 18:08
156530,Junior Hamb Plus,1,19.9,11/10/2020 19:42
156531,Junior Hamb Plus,1,19.9,27/10/2020 20:35
156532,Junior Hamb Plus,1,19.9,27/10/2020 17:02
156533,Doble slim Hamb,1,27.9,14/10/2020 20:29
156534,Tijuana Hamb,1,30.9,08/10/2020 20:07
156535,Doble slim Hamb,1,27.9,30/10/2020 19:44
156536,Doble slim Hamb,1,27.9,02/10/2020 20:52
156537,Junior Hamb Plus,1,19.9,19/10/2020 18:52
156538,Veg,1,20.5,08/10/2020 19:47
156539,Tijuana Hamb,1,30.9,30/10/2020 19:16
156540,Bacon Hamb,1,26.9,04/10/2020 18:38
156541,Junior Hamb,1,17.9,29/10/2020 19:02
156542,Tijuana Hamb,1,30.9,20/10/2020 19:57
156543,Junior Hamb Plus,1,19.9,29/10/2020 18:17
156544,Classic Hamb,1,22.9,01/10/2020 20:02
156545,Doble slim Hamb,1,27.9,23/10/2020 19:42
156546,Junior Hamb Plus,1,19.9,06/10/2020 19:32
156547,Classic Hamb,1,22.9,07/10/2020 19:44
156548,Junior Hamb Plus,1,19.9,31/10/2020 19:34
156549,Classic Hamb,1,22.9,19/10/2020 19:08
156550,Veg,1,20.5,24/10/2020 20:56
