ID,Quantity Ordered,Product,Price,Date
139453,Monster Hamb,1,50.9,24/09/2020 20:07
139454,Classic Hamb,1,22.9,24/09/2020 20:16
139455,Classic Hamb,1,22.9,21/09/2020 20:48
139456,Junior Hamb Plus,1,19.9,05/09/2020 19:57
139456,Tijuana Hamb,1,30.9,05/09/2020 19:57
139457,Heart attack Hamb,1,31.9,14/09/2020 19:40
139458,Junior Hamb,1,17.9,04/09/2020 20:04
139459,Classic Hamb,1,22.9,07/09/2020 19:37
139459,Doble Hamb,1,31.9,07/09/2020 19:37
139459,Doble slim Hamb,1,27.9,07/09/2020 19:37
139460,Doble slim Hamb,1,27.9,25/09/2020 21:30
139461,Junior Hamb Plus,1,19.9,21/09/2020 19:51
139462,Doble slim Hamb,1,27.9,17/09/2020 20:10
139463,Monster Hamb,1,50.9,17/09/2020 20:00
139464,Doble Hamb,1,31.9,04/09/2020 18:56
139465,Doble Hamb,1,31.9,16/09/2020 20:38
139466,Junior Hamb,1,17.9,28/09/2020 18:55
139467,Veg,1,20.5,25/09/2020 20:55
139468,Junior Hamb,1,17.9,03/09/2020 20:10
139469,Tijuana Hamb,1,30.9,22/09/2020 17:34
139470,Classic Hamb,1,22.9,22/09/2020 20:40
139470,Veg,1,20.5,22/09/2020 20:40
139471,Bacon Hamb,1,26.9,22/09/2020 20:43
139472,Monster Hamb,1,50.9,16/09/2020 20:38
139473,Tijuana Hamb,3,30.9,07/09/2020 19:57
139473,,,,07/09/2020 19:57
139474,Junior Hamb,1,17.9,23/09/2020 18:47
139475,Bacon Hamb,1,26.9,07/09/2020 19:38
139476,Doble slim Hamb,1,27.9,10/09/2020 20:03
139477,Doble slim Hamb,1,27.9,24/09/2020 21:02
139478,Veg,1,20.5,07/09/2020 19:49
139479,Doble slim Hamb,1,27.9,22/09/2020 18:33
139480,Junior Hamb,1,17.9,05/09/2020 20:07
139480,Tijuana Hamb,1,30.9,05/09/2020 20:07
139481,Junior Hamb,1,17.9,23/09/2020 20:54
139482,Junior Hamb,1,17.9,26/09/2020 20:35
139483,Doble Hamb,1,31.9,07/09/2020 19:44
139484,Doble slim Hamb,1,27.9,25/09/2020 19:42
139485,Tijuana Hamb,1,30.9,09/09/2020 19:21
139486,Junior Hamb,1,17.9,24/09/2020 21:08
139487,Doble Hamb,1,31.9,16/09/2020 19:36
139488,Junior Hamb,1,17.9,17/09/2020 18:13
139489,Heart attack Hamb,1,31.9,28/09/2020 19:29
139490,Doble Hamb,1,31.9,03/09/2020 19:09
139491,Bacon Hamb,1,26.9,16/09/2020 17:53
139492,Doble slim Hamb,1,27.9,08/09/2020 19:33
139493,Tijuana Hamb,1,30.9,05/09/2020 20:28
139494,Doble Hamb,1,31.9,30/09/2020 20:05
139495,Doble slim Hamb,1,27.9,07/09/2020 18:31
139496,Doble slim Hamb,1,27.9,09/09/2020 20:37
139497,Junior Hamb Plus,1,19.9,11/09/2020 19:51
139498,Junior Hamb Plus,1,19.9,01/09/2020 20:03
139499,Doble slim Hamb,1,27.9,03/09/2020 20:48
139500,Veg,1,20.5,24/09/2020 18:23
139501,Doble slim Hamb,1,27.9,02/09/2020 19:39
139502,Bacon Hamb,1,26.9,03/09/2020 19:31
139503,Bacon Hamb,1,26.9,18/09/2020 22:08
139504,Junior Hamb Plus,1,19.9,15/09/2020 19:44
